info,Samp_ID,samp_mg,Ntime_min,N_resp,N_wght_mg,N_wght_p,ele_N,NC_resp_r,Ctime_min,C_resp,C_wght_mg,C_wght_p,ele_C,CC_resp_r,,,,,
165-009B-117 DEAD_8_24_2023 6_29_01 PM_095,165-009B-117 DEAD,4.238,1.844,349.965,0.143,3.36,Nitrogen,0.033,2.942,10532.646,1.682,39.69,Carbon,1,,,,,
165-009B-121 DEAD_8_24_2023 5_46_54 PM_088,165-009B-121 DEAD,4.498,1.853,224.407,0.093,2.06,Nitrogen,0.021,2.942,10511.343,1.679,37.32,Carbon,1,,,,,
165-009B-123 DEAD_8_24_2023 6_35_02 PM_096,165-009B-123 DEAD,4.265,1.849,305.812,0.125,2.93,Nitrogen,0.024,2.911,12690.361,2.052,48.11,Carbon,1,,,,,
165-009B-124-GREEN_8_17_2023 3_15_13 PM_047,165-009B-124-GREEN,3.449,1.844,309.738,0.125,3.63,Nitrogen,0.036,2.982,8509.566,1.336,38.74,Carbon,1,,,,,
165-009B-125_GREEN_8_23_2023 12_52_12 PM_040,165-009B-125_GREEN,,3.158,,1.84,266.497,0.11,,3.47,Nitrogen,0.034,2.991,7751.417,1.212,,38.38,,,
165-009B-127-DRY_7_13_2023 1_23_00 PM_033,165-009B-127-DRY,4.965,1.858,218.58,0.086,1.73,Nitrogen,0.019,2.964,11506.999,1.805,36.35,Carbon,1,,,,,
165-009B-127-GREEN_8_17_2023 3_21_14 PM_048,165-009B-127-GREEN,3.187,1.853,273.337,0.111,3.48,Nitrogen,0.036,3.004,7664.665,1.198,37.59,Carbon,1,,,,,
165-009B-133-GREEN_8_17_2023 5_09_32 PM_066,165-009B-133-GREEN,3.312,1.849,346.436,0.14,4.21,Nitrogen,0.042,2.991,8288.688,1.3,39.25,Carbon,1,,,,,
165-009B-14 DEAD_8_24_2023 5_52_55 PM_089,165-009B-14 DEAD,4.222,1.849,235.008,0.097,2.29,Nitrogen,0.023,2.947,10419.448,1.663,39.39,Carbon,1,,,,,
165-009B-143 DEAD_8_24_2023 4_52_45 PM_079,165-009B-143 DEAD,1.266,1.84,68.688,0.031,2.41,Nitrogen,0.022,3.102,3183.229,0.486,38.38,Carbon,1,,,,,
165-009B-149 DEAD_8_24_2023 5_40_53 PM_087,165-009B-149 DEAD,3.895,1.849,203.886,0.084,2.17,Nitrogen,0.019,2.938,10904.643,1.745,44.81,Carbon,1,,,,,
165-009B-150 DEAD_8_25_2023 2_29_14 PM_041,165-009B-150 DEAD,4.551,1.867,206.542,0.085,1.86,Nitrogen,0.02,2.964,10587.462,1.686,37.05,Carbon,1,,,,,
165-009B-154 DEAD_8_25_2023 2_47_17 PM_044,165-009B-154 DEAD,3.942,1.862,163.715,0.068,1.73,Nitrogen,0.017,2.978,9428.847,1.493,37.88,Carbon,1,,,,,
165-009B-155 DEAD_8_25_2023 2_23_13 PM_040,165-009B-155 DEAD,4.201,1.858,164.807,0.068,1.63,Nitrogen,0.017,2.973,9835.938,1.561,37.15,Carbon,1,,,,,
165-009B-166 DEAD_8_25_2023 2_11_11 PM_038,165-009B-166 DEAD,4.532,1.858,281.125,0.114,2.52,Nitrogen,0.026,2.96,10764.776,1.716,37.86,Carbon,1,,,,,
165-009B-168_GREEN_8_22_2023 8_50_22 PM_109,165-009B-168_GREEN,3.137,1.849,219.468,0.091,2.89,Nitrogen,0.028,2.987,7927.203,1.25,39.85,Carbon,1,,,,,
165-009B-168-DRY_8_15_2023 12_58_42 PM_028,165-009B-168-DRY,4.73,1.876,189.886,0.077,1.63,Nitrogen,0.016,2.951,11539.419,1.84,38.9,Carbon,1,,,,,
165-009B-169 DEAD_8_25_2023 1_41_06 PM_033,165-009B-169 DEAD,4.592,1.871,255.043,0.104,2.26,Nitrogen,0.024,2.964,10825.414,1.726,37.59,Carbon,1,,,,,
165-009B-170_GREEN_8_22_2023 8_26_18 PM_105,165-009B-170_GREEN,3.201,1.836,228.786,0.094,2.94,Nitrogen,0.028,2.973,8070.633,1.274,39.8,Carbon,1,,,,,
165-009B-171 DEAD_8_25_2023 2_41_16 PM_043,165-009B-171 DEAD,3.394,1.862,164.923,0.069,2.02,Nitrogen,0.02,3.004,8262.629,1.301,38.32,Carbon,1,,,,,
165-009B-180_GREEN_8_22_2023 8_20_17 PM_104,165-009B-180_GREEN,3.241,1.84,221.778,0.091,2.82,Nitrogen,0.029,2.978,7732.034,1.218,37.58,Carbon,1,,,,,
165-009B-182-DRY_8_11_2023 8_07_33 PM_097,165-009B-182-DRY,4.506,1.849,218.064,0.089,1.98,Nitrogen,0.02,2.929,10902.734,1.746,38.74,Carbon,1,,,,,
165-009B-183_GREEN_8_22_2023 8_14_16 PM_103,165-009B-183_GREEN,3.098,1.836,211.142,0.087,2.82,Nitrogen,0.028,2.982,7580.011,1.193,38.51,Carbon,1,,,,,
165-009B-183-DRY_8_11_2023 7_55_31 PM_095,165-009B-183-DRY,4.758,1.853,162.663,0.067,1.41,Nitrogen,0.015,2.929,10885.552,1.743,36.63,Carbon,1,,,,,
165-009B-184-DRY_7_13_2023 12_10_47 PM_021,165-009B-184-DRY,4.673,1.862,198.641,0.078,1.67,Nitrogen,0.017,2.969,11411.652,1.789,38.28,Carbon,1,,,,,
165-009B-184-GREEN_8_15_2023 3_22_47 PM_040,165-009B-184-GREEN,3.202,1.858,265.574,0.107,3.35,Nitrogen,0.033,3,8078.992,1.262,39.4,Carbon,1,,,,,
165-009B-187_GREEN_8_22_2023 12_54_39 PM_030,165-009B-187_GREEN,3.482,1.844,294.386,0.12,3.46,Nitrogen,0.034,2.973,8598.3,1.361,39.09,Carbon,1,,,,,
165-009B-187-DRY_8_11_2023 3_12_42 PM_048,165-009B-187-DRY,4.695,1.862,199.744,0.082,1.75,Nitrogen,0.018,2.933,10971.888,1.757,37.43,Carbon,1,,,,,
165-009B-192-DRY_7_13_2023 2_11_08 PM_041,165-009B-192-DRY,4.026,1.853,213.893,0.084,2.08,Nitrogen,0.022,2.987,9785.474,1.52,37.75,Carbon,1,,,,,
165-009B-192-GREEN_8_15_2023 3_34_49 PM_042,165-009B-192-GREEN,3.383,1.853,298.879,0.12,3.56,Nitrogen,0.036,2.996,8251.489,1.29,38.13,Carbon,1,,,,,
165-009B-193_GREEN_8_22_2023 12_24_34 PM_025,165-009B-193_GREEN,3.01,1.844,273.02,0.112,3.72,Nitrogen,0.035,2.987,7718.993,1.216,40.4,Carbon,1,,,,,
165-009B-193-DRY_8_11_2023 2_42_37 PM_043,165-009B-193-DRY,4.682,1.862,273.707,0.111,2.37,Nitrogen,0.024,2.933,11465.974,1.842,39.34,Carbon,1,,,,,
165-009B-196_GREEN_8_22_2023 6_13_53 PM_083,165-009B-196_GREEN,3.132,1.836,207.411,0.086,2.74,Nitrogen,0.026,2.973,7872.521,1.241,39.63,Carbon,1,,,,,
165-009B-196-DRY_8_11_2023 4_24_54 PM_060,165-009B-196-DRY,4.547,1.862,105.499,0.045,0.98,Nitrogen,0.009,2.924,11171.377,1.791,39.4,Carbon,1,,,,,
165-009B-197_GREEN_8_23_2023 11_21_35 AM_025,165-009B-197_GREEN,,3.141,,1.849,256.602,0.106,,3.36,Nitrogen,0.034,2.996,7624.482,1.191,,37.93,,,
165-009B-197-DRY_8_10_2023 2_21_02 PM_044,165-009B-197-DRY,4.668,1.876,271.577,0.109,2.34,Nitrogen,0.024,2.96,11162.606,1.775,38.03,Carbon,1,,,,,
165-009B-197-DRY_8_10_2023 2_21_02 PM_044,165-009B-197-DRY,4.668,1.876,271.577,0.109,2.34,Nitrogen,0.024,2.96,11162.606,1.775,38.03,Carbon,1,,,,,
165-009B-198-DRY_7_13_2023 4_05_29 PM_060,165-009B-198-DRY,4.546,1.844,210.855,0.083,1.82,Nitrogen,0.019,2.96,10928.426,1.708,37.58,Carbon,1,,,,,
165-009B-198-GREEN_8_17_2023 5_39_37 PM_071,165-009B-198-GREEN,3.019,1.858,246.002,0.1,3.32,Nitrogen,0.033,3.018,7386.885,1.153,38.18,Carbon,1,,,,,
165-009B-199_GREEN_8_22_2023 12_00_29 PM_021,165-009B-199_GREEN,3.403,1.849,281.3,0.115,3.38,Nitrogen,0.034,2.978,8334.874,1.318,38.72,Carbon,1,,,,,
165-009B-199_GREEN_8_22_2023 12_06_30 PM_022,165-009B-199_GREEN,3.347,1.858,212.239,0.088,2.62,Nitrogen,0.026,2.987,8305.76,1.313,39.22,Carbon,1,,,,,
165-009B-199-DRY_7_13_2023 3_23_21 PM_053,165-009B-199-DRY,4.944,1.853,164.919,0.065,1.32,Nitrogen,0.014,2.947,11962.108,1.881,38.04,Carbon,1,,,,,
165-009B-203_GREEN_8_22_2023 11_42_26 AM_018,165-009B-203_GREEN,3.476,1.849,237.781,0.098,2.81,Nitrogen,0.028,2.973,8462.662,1.339,38.51,Carbon,1,,,,,
165-009B-203-DRY_7_13_2023 3_41_25 PM_056,165-009B-203-DRY,4.428,1.853,196.301,0.077,1.74,Nitrogen,0.018,2.969,10976.04,1.716,38.76,Carbon,1,,,,,
165-009B-28_GREEN_8_23_2023 2_52_41 PM_060,165-009B-28_GREEN,165-025B-38_GREEN,3.455,3.324,1.836,286.651,0.118,3.55,3.4,Nitrogen,0.036,2.987,7949.158,1.245,37.45,36.02,,,
165-009B-28-DRY_7_13_2023 2_23_11 PM_043,165-009B-28-DRY,4.755,1.858,253.672,0.099,2.09,Nitrogen,0.022,2.969,11435.179,1.793,37.7,Carbon,1,,,,,
165-009B-29-DRY_8_17_2023 4_39_27 PM_061,165-009B-29-DRY,4.256,1.849,209.127,0.086,2.02,Nitrogen,0.02,2.942,10722.801,1.704,40.05,Carbon,1,,,,,
165-009B-29-GREEN_7_14_2023 10_28_09 AM_017,165-009B-29-GREEN,3.188,1.871,284.539,0.108,3.4,Nitrogen,0.035,3.049,8189.988,1.246,39.1,Carbon,1,,,,,
165-009B-31-DRY_8_10_2023 5_33_52 PM_076,165-009B-31-DRY,4.568,1.862,214.961,0.087,1.9,Nitrogen,0.02,2.951,10614.987,1.683,36.84,Carbon,1,,,,,
165-009B-31-DRY_8_10_2023 5_33_52 PM_076,165-009B-31-DRY,4.568,1.862,214.961,0.087,1.9,Nitrogen,0.02,2.951,10614.987,1.683,36.84,Carbon,1,,,,,
165-009B-31-GREEN_8_17_2023 12_02_39 PM_015,165-009B-31-GREEN,3.386,1.867,289.541,0.117,3.47,Nitrogen,0.035,3.009,8279.064,1.298,38.35,Carbon,1,,,,,
165-009B-32-DRY_7_13_2023 12_04_46 PM_020,165-009B-32-DRY,4.112,1.853,300.387,0.117,2.85,Nitrogen,0.029,2.982,10435.065,1.627,39.56,Carbon,1,,,,,
165-009B-32-GREEN_8_17_2023 1_26_53 PM_029,165-009B-32-GREEN,3.405,1.858,290.834,0.118,3.46,Nitrogen,0.034,2.991,8492.768,1.333,39.16,Carbon,1,,,,,
165-009B-33_GREEN_8_23_2023 3_59_53 PM_069,165-009B-33_GREEN,,3.332,,1.84,243.848,0.101,,3.02,Nitrogen,0.03,2.978,8194.525,1.285,,38.56,,,
165-009B-33-DRY_7_13_2023 1_47_04 PM_037,165-009B-33-DRY,4.223,1.849,202.935,0.08,1.89,Nitrogen,0.02,2.982,10201.641,1.588,37.61,Carbon,1,,,,,
165-009B-34-DRY_7_13_2023 12_34_51 PM_025,165-009B-34-DRY,4.872,1.858,336.485,0.131,2.69,Nitrogen,0.028,2.96,12136.706,1.91,39.21,Carbon,1,,,,,
165-009B-34-GREEN_8_17_2023 12_50_47 PM_023,165-009B-34-GREEN,3.465,1.858,303.383,0.123,3.54,Nitrogen,0.035,2.996,8629.737,1.356,39.13,Carbon,1,,,,,
165-009B-35_GREEN_8_22_2023 2_19_05 PM_044,165-009B-35_GREEN,3.193,1.84,284.422,0.116,3.64,Nitrogen,0.037,2.991,7619.663,1.2,37.57,Carbon,1,,,,,
165-009B-35-DRY_8_11_2023 2_48_38 PM_044,165-009B-35-DRY,4.654,1.862,329.946,0.133,2.86,Nitrogen,0.03,2.947,10828.671,1.733,37.24,Carbon,1,,,,,
165-009B-36_GREEN_8_22_2023 3_31_24 PM_056,165-009B-36_GREEN,3.105,1.84,303.11,0.124,3.99,Nitrogen,0.039,2.987,7753.371,1.222,39.34,Carbon,1,,,,,
165-009B-36-DRY_8_11_2023 12_32_49 PM_022,165-009B-36-DRY,4.105,1.862,310.338,0.126,3.06,Nitrogen,0.03,2.96,10211.86,1.628,39.67,Carbon,1,,,,,
165-009B-39 DEAD_8_25_2023 2_05_10 PM_037,165-009B-39 DEAD,4.329,1.867,174.733,0.072,1.67,Nitrogen,0.017,2.969,10096.473,1.604,37.06,Carbon,1,,,,,
165-009B-4_GREEN_8_24_2023 12_12_26 PM_033,165-009B-4_GREEN,3.122,1.827,260.305,0.107,3.42,Nitrogen,0.034,2.978,7618.718,1.197,38.34,Carbon,1,,,,,
165-009B-4-DRY_8_10_2023 12_14_29 PM_023,165-009B-4-DRY,4.724,1.867,270.17,0.109,2.3,Nitrogen,0.025,2.947,10983.719,1.745,36.94,Carbon,1,,,,,
165-009B-4-DRY_8_10_2023 12_14_29 PM_023,165-009B-4-DRY,4.724,1.867,270.17,0.109,2.3,Nitrogen,0.025,2.947,10983.719,1.745,36.94,Carbon,1,,,,,
165-009B-40_GREEN_8_23_2023 4_05_54 PM_070,165-009B-40_GREEN,,3.307,,1.836,311.608,0.127,,3.85,Nitrogen,0.04,2.987,7827.446,1.225,,37.03,,,
165-009B-40-DRY_7_13_2023 1_35_02 PM_035,165-009B-40-DRY,4.502,1.858,259.672,0.101,2.25,Nitrogen,0.025,2.987,10321.47,1.608,35.72,Carbon,1,,,,,
165-009B-41_GREEN_8_23_2023 5_24_09 PM_083,165-009B-41_GREEN,,3.124,,1.831,258.519,0.106,,3.41,Nitrogen,0.033,2.982,7740.445,1.21,,38.74,,,
165-009B-41-DRY_7_13_2023 2_05_07 PM_040,165-009B-41-DRY,4.509,1.858,225.621,0.088,1.96,Nitrogen,0.02,2.969,11093.553,1.736,38.5,Carbon,1,,,,,
165-009B-42-DRY_7_13_2023 12_16_48 PM_022,165-009B-42-DRY,4.664,1.862,225.641,0.088,1.9,Nitrogen,0.02,2.973,11165.553,1.748,37.47,Carbon,1,,,,,
165-009B-42-GREEN_8_17_2023 1_20_52 PM_028,165-009B-42-GREEN,3.342,1.862,241.045,0.098,2.95,Nitrogen,0.03,3.004,8152.08,1.278,38.23,Carbon,1,,,,,
165-009B-44_GREEN_8_23_2023 3_10_44 PM_063,165-009B-44_GREEN,165-009-25_GREEN,3.115,3.202,1.836,277.907,0.114,3.56,3.66,Nitrogen,0.036,2.987,7685.451,1.201,37.51,38.57,,,
165-009B-44-DRY_7_13_2023 2_41_14 PM_046,165-009B-44-DRY,4.749,1.853,291.799,0.114,2.4,Nitrogen,0.025,2.96,11526.57,1.808,38.07,Carbon,1,,,,,
165-009B-5-DRY_7_13_2023 11_46_42 AM_017,165-009B-5-DRY,4.665,1.862,232.584,0.091,1.95,Nitrogen,0.021,2.973,10925.961,1.708,36.61,Carbon,1,,,,,
165-009B-5-GREEN_8_17_2023 1_44_57 PM_032,165-009B-5-GREEN,3.292,1.858,297.912,0.121,3.66,Nitrogen,0.038,3.004,7847.037,1.228,37.29,Carbon,1,,,,,
165-009B-52-GREEN_8_17_2023 12_08_40 PM_016,165-009B-52-GREEN,3.292,1.862,267.503,0.109,3.3,Nitrogen,0.034,3.013,7806.614,1.221,37.09,Carbon,1,,,,,
165-009B-59_GREEN_8_22_2023 3_43_26 PM_058,165-009B-59_GREEN,3.447,1.836,276.238,0.113,3.28,Nitrogen,0.033,2.969,8329.836,1.317,38.2,Carbon,1,,,,,
165-009B-59-DRY_8_11_2023 12_08_44 PM_018,165-009B-59-DRY,4.75,1.862,262.961,0.107,2.25,Nitrogen,0.024,2.942,10971.878,1.757,37,Carbon,1,,,,,
165-009B-62-GREEN_8_17_2023 2_51_09 PM_043,165-009B-62-GREEN,3.354,1.849,349.149,0.141,4.19,Nitrogen,0.043,2.996,8164.823,1.28,38.15,Carbon,1,,,,,
165-009B-63-GREEN_8_17_2023 5_15_33 PM_067,165-009B-63-GREEN,3.048,1.849,290.631,0.118,3.86,Nitrogen,0.039,3.004,7397.018,1.154,37.87,Carbon,1,,,,,
165-009B-64_GREEN_8_23_2023 2_22_36 PM_055,165-009B-64_GREEN,165-009-74_GREEN,3.136,3.315,1.84,305.514,0.125,3.77,3.99,Nitrogen,0.038,2.982,8114.854,1.272,38.37,40.55,,,
165-009B-65_GREEN_8_22_2023 2_07_03 PM_042,165-009B-65_GREEN,3.374,1.844,273.469,0.112,3.32,Nitrogen,0.034,2.982,8081.003,1.276,37.81,Carbon,1,,,,,
165-009B-66-DRY_8_17_2023 4_51_29 PM_063,165-009B-66-DRY,4.896,1.858,230.801,0.094,1.93,Nitrogen,0.02,2.938,11560.578,1.846,37.71,Carbon,1,,,,,
165-009B-67-GREEN_8_17_2023 3_45_18 PM_052,165-009B-67-GREEN,3.375,1.844,284.766,0.116,3.42,Nitrogen,0.034,2.982,8361.204,1.312,38.87,Carbon,1,,,,,
165-009B-69-DRY_7_13_2023 11_52_44 AM_018,165-009B-69-DRY,4.846,1.858,271.078,0.106,2.18,Nitrogen,0.023,2.96,11715.305,1.84,37.96,Carbon,1,,,,,
165-009B-69-GREEN_8_17_2023 1_38_55 PM_031,165-009B-69-GREEN,3.226,1.858,262.061,0.107,3.31,Nitrogen,0.033,3.004,7969.147,1.248,38.67,Carbon,1,,,,,
165-009B-7_GREEN_8_23_2023 4_17_56 PM_072,165-009B-7_GREEN,,3.321,,1.844,286.09,0.117,,3.53,Nitrogen,0.035,2.982,8290.029,1.301,,39.16,,,
165-009B-7-DRY_8_17_2023 4_45_28 PM_062,165-009B-7-DRY,4.447,1.858,285.876,0.116,2.61,Nitrogen,0.026,2.942,11093.243,1.767,39.73,Carbon,1,,,,,
165-009B-70-DRY_7_13_2023 1_16_59 PM_032,165-009B-70-DRY,4.752,1.858,197.405,0.078,1.63,Nitrogen,0.018,2.973,11133.677,1.742,36.67,Carbon,1,,,,,
165-009B-70-GREEN_8_17_2023 3_27_15 PM_049,165-009B-70-GREEN,3.458,1.849,284.236,0.115,3.33,Nitrogen,0.034,2.987,8433.588,1.324,38.28,Carbon,1,,,,,
165-009B-71_GREEN_8_22_2023 3_37_25 PM_057,165-009B-71_GREEN,3.441,1.844,274.943,0.113,3.27,Nitrogen,0.034,2.982,8128.565,1.283,37.3,Carbon,1,,,,,
165-009B-72-GREEN_8_17_2023 3_39_17 PM_051,165-009B-72-GREEN,3.302,1.849,312.705,0.126,3.83,Nitrogen,0.04,3,7775.796,1.216,36.83,Carbon,1,,,,,
165-009B-8_GREEN_8_24_2023 10_34_53 AM_019,165-009B-8_GREEN,3.013,1.84,225.675,0.093,3.09,Nitrogen,0.03,2.991,7515.27,1.18,39.16,Carbon,1,,,,,
165-009B-8-DRY_8_10_2023 12_32_31 PM_026,165-009B-8-DRY,4.89,1.884,218.763,0.088,1.81,Nitrogen,0.019,2.96,11639.939,1.857,37.97,Carbon,1,,,,,
165-009B-8-DRY_8_10_2023 12_32_31 PM_026,165-009B-8-DRY,4.89,1.884,218.763,0.088,1.81,Nitrogen,0.019,2.96,11639.939,1.857,37.97,Carbon,1,,,,,
165-009B-9-DRY_7_13_2023 12_52_54 PM_028,165-009B-9-DRY,4.826,1.853,280.449,0.109,2.27,Nitrogen,0.024,2.956,11515.899,1.806,37.43,Carbon,1,,,,,
165-009B-9-GREEN_8_17_2023 12_26_43 PM_019,165-009B-9-GREEN,3.332,1.862,269.462,0.11,3.29,Nitrogen,0.033,3.004,8228.992,1.29,38.72,Carbon,1,,,,,
165-016-02_GREEN_8_22_2023 8_38_20 PM_107,165-016-02_GREEN,3.215,1.844,305.494,0.125,3.88,Nitrogen,0.037,2.982,8153.497,1.288,40.05,Carbon,1,,,,,
165-016-02-DRY_8_11_2023 8_13_34 PM_098,165-016-02-DRY,4.736,1.849,225.331,0.092,1.94,Nitrogen,0.02,2.916,11383.953,1.828,38.59,Carbon,1,,,,,
165-016-03-DRY_8_10_2023 5_27_51 PM_075,165-016-03-DRY,4.187,1.871,189.768,0.077,1.84,Nitrogen,0.019,2.969,10156.576,1.606,38.35,Carbon,1,,,,,
165-016-03-DRY_8_10_2023 5_27_51 PM_075,165-016-03-DRY,4.187,1.871,189.768,0.077,1.84,Nitrogen,0.019,2.969,10156.576,1.606,38.35,Carbon,1,,,,,
165-016-03-GREEN_8_17_2023 11_56_38 AM_014,165-016-03-GREEN,3.22,1.867,262.281,0.107,3.31,Nitrogen,0.032,3.009,8127.42,1.274,39.55,Carbon,1,,,,,
165-016-05-DRY_8_11_2023 1_08_56 PM_028,165-016-05-DRY,4.628,1.862,278.468,0.113,2.44,Nitrogen,0.025,2.942,11025.743,1.767,38.17,Carbon,1,,,,,
165-016-05-GREEN_8_17_2023 5_03_31 PM_065,165-016-05-GREEN,3.221,1.849,301.288,0.122,3.79,Nitrogen,0.037,2.996,8041.604,1.259,39.1,Carbon,1,,,,,
165-016-06_GREEN_8_22_2023 8_02_14 PM_101,165-016-06_GREEN,3.058,1.836,193.262,0.08,2.62,Nitrogen,0.026,2.982,7454.991,1.173,38.34,Carbon,1,,,,,
165-016-06-DRY_8_11_2023 5_25_05 PM_070,165-016-06-DRY,4.963,1.862,125.474,0.053,1.06,Nitrogen,0.011,2.929,11450.44,1.839,37.06,Carbon,1,,,,,
165-016-07-DRY_8_11_2023 6_37_18 PM_082,165-016-07-DRY,4.157,1.858,136.326,0.057,1.37,Nitrogen,0.014,2.951,9972.05,1.588,38.2,Carbon,1,,,,,
165-016-07-GREEN_8_15_2023 4_23_17 PM_046,165-016-07-GREEN,3.406,1.862,252.839,0.102,3,Nitrogen,0.029,2.991,8593.246,1.346,39.52,Carbon,1,,,,,
165-016-08_GREEN_8_23_2023 4_23_58 PM_073,165-016-08_GREEN,,3.053,,1.836,284.803,0.117,,3.83,Nitrogen,0.036,2.982,7808.496,1.222,,40.01,,,
165-016-08-DRY_7_13_2023 2_17_10 PM_042,165-016-08-DRY,4.207,1.858,211.46,0.083,1.97,Nitrogen,0.02,2.982,10591.112,1.653,39.28,Carbon,1,,,,,
165-016-11_GREEN_8_22_2023 12_36_36 PM_027,165-016-11_GREEN,3.094,1.849,242.781,0.1,3.23,Nitrogen,0.032,2.991,7540.408,1.187,38.35,Carbon,1,,,,,
165-016-11-DRY_8_10_2023 4_51_45 PM_069,165-016-11-DRY,4.392,1.871,222.247,0.09,2.05,Nitrogen,0.021,2.964,10448.081,1.655,37.67,Carbon,1,,,,,
165-016-11-DRY_8_10_2023 4_51_45 PM_069,165-016-11-DRY,4.392,1.871,222.247,0.09,2.05,Nitrogen,0.021,2.964,10448.081,1.655,37.67,Carbon,1,,,,,
165-016-12-DRY_8_11_2023 6_13_14 PM_078,165-016-12-DRY,4.329,1.858,241.036,0.098,2.27,Nitrogen,0.022,2.938,10846.423,1.736,40.1,Carbon,1,,,,,
165-016-12-GREEN_8_15_2023 1_16_45 PM_031,165-016-12-GREEN,3.379,1.862,326.637,0.131,3.89,Nitrogen,0.038,3,8602.42,1.348,39.88,Carbon,1,,,,,
165-016-13-DRY_8_10_2023 6_34_02 PM_086,165-016-13-DRY,4.969,1.876,256.342,0.103,2.08,Nitrogen,0.021,2.942,12072.592,1.931,38.86,Carbon,1,,,,,
165-016-13-DRY_8_10_2023 6_34_02 PM_086,165-016-13-DRY,4.969,1.876,256.342,0.103,2.08,Nitrogen,0.021,2.942,12072.592,1.931,38.86,Carbon,1,,,,,
165-016-13-GREEN_8_15_2023 1_10_44 PM_030,165-016-13-GREEN,3.235,1.862,310.573,0.125,3.86,Nitrogen,0.037,3,8372.756,1.31,40.49,Carbon,1,,,,,
165-016-16-DRY_8_11_2023 6_31_17 PM_081,165-016-16-DRY,4.829,1.853,215.873,0.088,1.83,Nitrogen,0.019,2.92,11662.467,1.876,38.84,Carbon,1,,,,,
165-016-16-GREEN_8_15_2023 3_46_51 PM_044,165-016-16-GREEN,3.281,1.858,325.483,0.131,3.99,Nitrogen,0.039,2.991,8398.022,1.314,40.05,Carbon,1,,,,,
165-016-19_GREEN_8_22_2023 1_12_53 PM_033,165-016-19_GREEN,3.082,1.844,271.513,0.111,3.61,Nitrogen,0.035,2.982,7867.259,1.24,40.25,Carbon,1,,,,,
165-016-19-DRY_8_11_2023 3_06_41 PM_047,165-016-19-DRY,4.101,1.862,194.805,0.08,1.95,Nitrogen,0.019,2.956,10145.1,1.617,39.43,Carbon,1,,,,,
165-016-20_GREEN_8_22_2023 12_30_35 PM_026,165-016-20_GREEN,3.324,1.844,277.877,0.114,3.42,Nitrogen,0.034,2.978,8246.096,1.303,39.2,Carbon,1,,,,,
165-016-20-DRY_8_11_2023 12_56_53 PM_026,165-016-20-DRY,4.45,1.871,179.136,0.074,1.66,Nitrogen,0.017,2.951,10732.021,1.717,38.57,Carbon,1,,,,,
165-016-57-DRY_8_10_2023 2_09_00 PM_042,165-016-57-DRY,4.903,1.876,233.904,0.094,1.93,Nitrogen,0.02,2.942,11864.669,1.895,38.65,Carbon,1,,,,,
165-016-57-DRY_8_10_2023 2_09_00 PM_042,165-016-57-DRY,4.903,1.876,233.904,0.094,1.93,Nitrogen,0.02,2.942,11864.669,1.895,38.65,Carbon,1,,,,,
165-016B-23-DRY_8_11_2023 2_54_39 PM_045,165-016B-23-DRY,4.488,1.862,234.206,0.096,2.13,Nitrogen,0.021,2.938,11100.078,1.779,39.64,Carbon,1,,,,,
165-016B-25-DRY_7_13_2023 2_59_17 PM_049,165-016B-25-DRY,4.442,1.858,171.128,0.067,1.52,Nitrogen,0.016,2.969,10738.802,1.677,37.75,Carbon,1,,,,,
165-016B-25-GREEN_8_15_2023 3_28_48 PM_041,165-016B-25-GREEN,3.255,1.867,253.643,0.102,3.15,Nitrogen,0.031,3.009,8223.516,1.285,39.49,Carbon,1,,,,,
165-016B-28_GREEN_8_22_2023 7_14_04 PM_093,165-016B-28_GREEN,3.045,1.836,208.817,0.086,2.83,Nitrogen,0.027,2.978,7654.942,1.205,39.59,Carbon,1,,,,,
165-016B-28-DRY_8_11_2023 5_37_07 PM_072,165-016B-28-DRY,2.623,1.858,152.525,0.063,2.41,Nitrogen,0.013,2.924,11311.875,1.815,69.21,Carbon,1,,,,,
165-016B-34_GREEN_8_22_2023 7_38_09 PM_097,165-016B-34_GREEN,3.015,1.836,204.701,0.085,2.81,Nitrogen,0.027,2.987,7466.186,1.174,38.95,Carbon,1,,,,,
165-016B-34-DRY_8_11_2023 5_43_08 PM_073,165-016B-34-DRY,4.729,1.867,150.568,0.063,1.32,Nitrogen,0.013,2.929,11316.416,1.816,38.41,Carbon,1,,,,,
165-016B-37_GREEN_8_22_2023 6_50_00 PM_089,165-016B-37_GREEN,3.13,1.84,232.092,0.096,3.05,Nitrogen,0.03,2.982,7659.35,1.206,38.53,Carbon,1,,,,,
165-016B-37-DRY_8_11_2023 3_54_49 PM_055,165-016B-37-DRY,4.983,1.862,173.781,0.072,1.44,Nitrogen,0.015,2.924,11616.059,1.868,37.48,Carbon,1,,,,,
165-016B-42_GREEN_8_23_2023 6_12_18 PM_091,165-016B-42_GREEN,,3.261,,1.836,237.129,0.098,,3,Nitrogen,0.029,2.973,8118.329,1.272,,39.02,,,
165-016C-45_GREEN_8_22_2023 6_01_51 PM_081,165-016C-45_GREEN,3.265,1.844,188.416,0.078,2.4,Nitrogen,0.023,2.978,8078.599,1.275,39.06,Carbon,1,,,,,
165-016C-45-DRY_8_11_2023 5_19_04 PM_069,165-016C-45-DRY,4.696,1.862,107.352,0.046,0.97,Nitrogen,0.01,2.924,11257.116,1.806,38.46,Carbon,1,,,,,
